                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74202,                0.73694,                0.98042,                 0.9293,                0.96194,                 0.9706,                0.62457,                 1.3252,                0.97702,                 1.3213,                  8e-05,                  8e-05,                  8e-05
                      2,                0.65484,                0.69899,                0.91174,                 0.9729,                0.95122,                0.97116,                0.63566,                 1.2112,                0.85521,                 1.3185,             0.00017109,             0.00017109,             0.00017109
                      3,                0.64028,                0.67177,                0.96293,                0.96818,                0.87805,                0.96691,                0.66106,                 1.1462,                0.84505,                   1.23,             0.00025228,             0.00025228,             0.00025228
                      4,                0.72727,                0.67225,                0.94876,                0.99587,                0.85366,                0.94959,                   0.59,                 1.3487,                0.95015,                  1.294,             0.00032357,             0.00032357,             0.00032357
                      5,                0.67014,                0.67286,                0.91478,                0.97296,                0.87772,                0.95575,                0.60029,                 1.3028,                0.93877,                  1.331,             0.00038496,             0.00038496,             0.00038496
                      6,                0.67038,                0.65526,                0.94405,                 0.9283,                0.94748,                0.96795,                0.64445,                 1.1939,                0.85436,                 1.2663,             0.00043645,             0.00043645,             0.00043645
                      7,                0.70244,                0.66234,                0.95157,                0.96758,                0.92683,                0.97315,                0.60314,                 1.3099,                0.89613,                 1.2927,             0.00047804,             0.00047804,             0.00047804
                      8,                0.67531,                0.64804,                0.94529,                0.92143,                0.95122,                0.96601,                0.60222,                 1.2322,                0.92752,                 1.2955,             0.00050973,             0.00050973,             0.00050973
                      9,                0.68601,                0.67065,                0.92214,                      1,                0.87526,                0.91869,                0.61412,                 1.1699,                0.97154,                 1.2975,             0.00053152,             0.00053152,             0.00053152
                     10,                0.70761,                0.67716,                0.91767,                0.94839,                0.89657,                0.89808,                0.56066,                 1.3719,                  1.064,                  1.439,             0.00054341,             0.00054341,             0.00054341
                     11,                0.91753,                0.83935,                 1.0537,                0.97354,                0.89737,                0.90624,                0.56287,                 1.3451,                  1.024,                 1.3593,              0.0005454,              0.0005454,              0.0005454
                     12,                0.73013,                0.77502,                0.93076,                0.99809,                0.87805,                0.92691,                0.63877,                 1.2044,                 1.0058,                 1.2646,             0.00053749,             0.00053749,             0.00053749
                     13,                 0.6511,                0.74235,                0.95384,                      1,                0.87656,                0.92452,                0.63369,                 1.1711,                 1.0217,                 1.2634,             0.00051968,             0.00051968,             0.00051968
                     14,                0.64869,                0.69732,                 0.9084,                0.97367,                0.90203,                0.92443,                0.63624,                 1.2187,                0.96679,                  1.339,             0.00049197,             0.00049197,             0.00049197
                     15,                0.67258,                 0.7162,                 0.9427,                0.99569,                0.87805,                0.91503,                0.59884,                 1.2985,                0.98154,                 1.3159,             0.00045436,             0.00045436,             0.00045436
                     16,                0.60603,                 0.6786,                0.88454,                0.98648,                0.92683,                0.95131,                0.60971,                 1.2558,                0.94818,                 1.2779,             0.00040685,             0.00040685,             0.00040685
                     17,                0.62683,                0.66687,                0.90854,                0.96689,                0.92683,                0.94747,                0.63014,                 1.2123,                0.95599,                 1.2632,             0.00034944,             0.00034944,             0.00034944
                     18,                 0.5583,                0.64869,                 0.8756,                0.96884,                0.92683,                0.94636,                0.62648,                 1.2177,                0.92723,                 1.2742,             0.00028213,             0.00028213,             0.00028213
                     19,                0.53271,                0.61083,                 0.8738,                0.96796,                0.92683,                0.94658,                0.63031,                 1.2119,                0.90725,                 1.2721,             0.00020492,             0.00020492,             0.00020492
                     20,                 0.5402,                0.62512,                 0.8715,                0.96946,                0.92683,                0.95113,                0.63719,                 1.1821,                0.87631,                 1.2606,             0.00011781,             0.00011781,             0.00011781
